"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 09:29:39 GMT 2024","Sun Oct 20 09:29:39 GMT 2024","27","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Sun Oct 20 09:29:39 GMT 2024","Sun Oct 20 09:29:39 GMT 2024","29","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
"passed","Sun Oct 20 09:29:27 GMT 2024","Sun Oct 20 09:29:27 GMT 2024","7","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Sun Oct 20 09:29:28 GMT 2024","Sun Oct 20 09:29:28 GMT 2024","5","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"passed","Sun Oct 20 09:29:28 GMT 2024","Sun Oct 20 09:29:28 GMT 2024","4","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Sun Oct 20 09:29:27 GMT 2024","Sun Oct 20 09:29:27 GMT 2024","4","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
"passed","Sun Oct 20 09:29:39 GMT 2024","Sun Oct 20 09:29:39 GMT 2024","23","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Sun Oct 20 09:29:27 GMT 2024","Sun Oct 20 09:29:27 GMT 2024","9","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
"passed","Sun Oct 20 09:29:39 GMT 2024","Sun Oct 20 09:29:39 GMT 2024","24","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
"passed","Sun Oct 20 09:29:39 GMT 2024","Sun Oct 20 09:29:39 GMT 2024","28","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Sun Oct 20 09:29:27 GMT 2024","Sun Oct 20 09:29:27 GMT 2024","11","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Sun Oct 20 09:29:28 GMT 2024","Sun Oct 20 09:29:28 GMT 2024","0","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Sun Oct 20 09:29:39 GMT 2024","Sun Oct 20 09:29:39 GMT 2024","16","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Sun Oct 20 09:29:39 GMT 2024","Sun Oct 20 09:29:39 GMT 2024","26","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Sun Oct 20 09:29:28 GMT 2024","Sun Oct 20 09:29:28 GMT 2024","1","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
"passed","Sun Oct 20 09:29:28 GMT 2024","Sun Oct 20 09:29:28 GMT 2024","4","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Sun Oct 20 09:29:27 GMT 2024","Sun Oct 20 09:29:27 GMT 2024","9","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Sun Oct 20 09:29:27 GMT 2024","Sun Oct 20 09:29:27 GMT 2024","5","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"passed","Sun Oct 20 09:29:50 GMT 2024","Sun Oct 20 09:29:50 GMT 2024","4","","E2ESuite","","","","[SearchTrack (e2e)] Success",""
"passed","Sun Oct 20 09:29:28 GMT 2024","Sun Oct 20 09:29:28 GMT 2024","0","","AlbumSuite","","","","[GetAlbum (service)] Success",""
"passed","Sun Oct 20 09:29:27 GMT 2024","Sun Oct 20 09:29:27 GMT 2024","4","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Sun Oct 20 09:29:27 GMT 2024","Sun Oct 20 09:29:27 GMT 2024","7","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Sun Oct 20 09:29:28 GMT 2024","Sun Oct 20 09:29:28 GMT 2024","5","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Sun Oct 20 09:29:39 GMT 2024","Sun Oct 20 09:29:39 GMT 2024","3","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Sun Oct 20 09:29:28 GMT 2024","Sun Oct 20 09:29:28 GMT 2024","0","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
